ID,Form,Segmented,Gloss,Translation,Parameter_ID,Lexeme_ID,Morpheme_IDs,Gramm,Source,Audio,POS
kachunajteri-put-on-pants,kachunajtëri,,,put on pants,put-on-pants,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180322/YarLex_0533_PaPe_kachunajteri-02.wav,vt
kasunajteri-put-on-pants,kasunajtëri,,,put on pants,put-on-pants,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180322/YarLex_0533_PaPe_kachunajteri-02.wav,vt
kaimari-lick,kaimari,,,lick,lick,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_2904_PaPe_kaimari.wav,vt
kaimokejra-unsuccessfully-hunted,kaimokejra,,,unsuccessfully hunted,unsuccessfully-hunted,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_2905_AnFo_kaimokejra.wav,adv
kaimosejra-not-hunting,kaimosejra,,,not hunting,not-hunting,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_2907_PaPe_kaimosejra.wav,adv
kamichakejra-naked,kamichakejra,,,naked,naked,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180322/YarLex_0575_AnFo_kamichakejra-02.wav,adv
kamisakejra-naked,kamisakejra,,,naked,naked,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180322/YarLex_0575_AnFo_kamichakejra-02.wav,adv
karasumpe-with-discomfort,karasumpe,,,with discomfort,with-discomfort,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_2912_PaPe_karasumpe.wav,adv
katupumari-accumulate,katupumari,,,accumulate,accumulate,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_2917_PaPe_katupumari.wav,vt
katepumari-accumulate,katëpumari,,,accumulate,accumulate,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_2917_PaPe_katupumari.wav,vt
kojpae-at-night,kojpae,,,at night,at-night,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0767_AnFo_kojpaye.wav,adv
kojpayere-early-in-the-morning,kojpayere,,,early in the morning,early-in-the-morning,,,,muller2021yawarana,/home/florianm/Downloads/New_Dictionary_Clippings/YarLex_0768_PaPe_kojpayere.wav,adv
korore-always,korore,,,always,always,,,,muller2021yawarana,/home/florianm/Downloads/Dictionary_Clippings/180324/YarLex_0799_AnFo_korore.wav,adv
