ID,Language_ID,Name,Lexeme_ID,Parameter_ID,Morpho_Segments,Segments,Comment,Source
won-enter,yab,won,,enter,won,w o n,,
i-put,yab,i,,put,i,i,,
peremeki-talk,yab,përemekï,,talk,përemekï,p ə r e m e k ɨ,,
yekerema-boast-sexually,yab,yekerema,,boast_sexually,yekerema,j e k e r e m a,,
sukuri-silently,yab,sukuri,,silently,sukuri,s u k u r i,,
yare-alone,yab,yarë,,alone,yarë,j a r ə,,
wera-like,yab,wëra,,like,wëra,w ə r a,,
wara-like,yab,wara,,like,wara,w a r a,,
wora-like,yab,wora,,like,wora,w o r a,,
po-loc,yab,po,,LOC,po,p o,,
tewijna-there-ana,yab,tëwïjna,,there.ANA,tëwïjna,t ə w ɨ h n a,Potentially morphologically complex; related to [mp](tewi-3pro)?,
ese-name,yab,ese,,name,ese,e s e,,
empami-learn,yab,ëmpamï,,learn,ëmpamï,ə m p a m ɨ,,
empan-learn,yab,ëmpan,,learn,ëmpan,ə m p a n,,
empam-learn,yab,ëmpam,,learn,ëmpam,ə m p a m,,
yakucho-p-a,yab,yakucho,,P._A.,yakucho,j a k u t͡ʃ o,,
pedrito-p,yab,pedrito,,P.,pedrito,p e d r i t o,,
akino-younger-brother,yab,akino,,younger_brother,akino,a k i n o,,
pajarito-p,yab,pajarito,,P.,pajarito,p a h a r i t o,,
yakara-believe,yab,yakara,,believe,yakara,j a k a r a,,
tajnon-piaroa,yab,tajnon,,Piaroa,tajnon,t a h n o n,,
tamanaku-t,yab,tamanaku,,T.,tamanaku,t a m a n a k u,,
irario-h,yab,irario,,H.,irario,i r a r i o,,
pupuri-bactris-gasipaes,yab,pupuri,,Bactris_gasipaes,pupuri,p u p u r i,,
pipiri-bactris-gasipaes,yab,pïpïri,,Bactris_gasipaes,pïpïri,p ɨ p ɨ r i,,
pipiri-bactris-gasipaes-1,yab,pïpïrï,,Bactris_gasipaes,pïpïrï,p ɨ p ɨ r ɨ,,
pijiguao-bactris-gasipaes,yab,pijiguao,,Bactris_gasipaes,pijiguao,p i h i � u a o,,
awo-uncle,yab,awo,,uncle; father_in_law,awo,a w o,,
ejwe-hammock,yab,ejwe,,hammock,ejwe,e h w e,,
ejwa-hammock,yab,ëjwa,,hammock,ëjwa,ə h w a,,
yakete-cut,yab,yakëtë,,cut,yakëtë,j a k ə t ə,,
enrike-e,yab,enrike,,E.,enrike,e n r i k e,,
kayupare-k,yab,kayupare,,K.,kayupare,k a j u p a r e,,
parangana-pot,yab,parangana,,pot,parangana,p a r a n � a n a,Spanish loan.,
tampa-become-angry,yab,tampa,,become_angry,tampa,t a m p a,,
nanka-find,yab,nanka,,find,nanka,n a n k a,,
akono-younger-sister-of-woman,yab,akono,,younger_sister_of_woman,akono,a k o n o,,
kano-c,yab,kaño,,C.,kaño,k a ɲ o,,
chiwapure-c,yab,chiwapure,,C.,chiwapure,t͡ʃ i w a p u r e,,
nwa-glute,yab,nwa,,glute,nwa,n w a,,
enu-eye,yab,ënu,,eye,ënu,ə n u,,
ejne-below,yab,ëjnë,,below,ëjnë,ə h n ə,,
neto-n,yab,neto,,N.,neto,n e t o,,
erepunu-sick,yab,erepunu,,sick,erepunu,e r e p u n u,,
erepun-sick,yab,erepun,,sick,erepun,e r e p u n,,
antonio-a,yab,antonio,,A.,antonio,a n t o n i o,,
sarampion-measles,yab,sarampion,,measles,sarampion,s a r a m p i o n,Spanish loan.,
santo-s,yab,santo,,S.,santo,s a n t o,,
melicio-m,yab,melicio,,M.,melicio,m e � i � i o,,
joti-hoti,yab,joti,,hoti,joti,h o t i,,
akere-relative,yab,akërë,,relative,akërë,a k ə r ə,,
akere-relative-1,yab,akere,,relative,akere,a k e r e,,
kawaratu-k,yab,kawaratu,,K.,kawaratu,k a w a r a t u,,
u-starchy-food,yab,u,,starchy_food,u,u,,
wintika-disappear,yab,wintika,,disappear,wintika,w i n t i k a,,
javier-j,yab,javier,,J.,javier,h a � i e r,,
wanita-j,yab,wanita,,J.,wanita,w a n i t a,,
sawankuwi-die,yab,sawankuwi,,die,sawankuwi,s a w a n k u w i,,
sawankui-die,yab,sawankui,,die,sawankui,s a w a n k u i,,
