ID,Stem_ID,Value_ID,Wordformpart_ID,Form_ID
mewaraijtori-2-husband-pert-2-pert,waraijto-husband,pert,mewaraijtori-2-husband-pert-2,
meyakerejtomo-2-lk-relative-pert-pl-0-2,akere-relative-1,2,meyakerejtomo-2-lk-relative-pert-pl-0,
meyakerejtomo-2-lk-relative-pert-pl-3-pert,akere-relative-1,pert,meyakerejtomo-2-lk-relative-pert-pl-3,
meyakerejtomo-2-lk-relative-pert-pl-4-pl,akere-relative-1,pl,meyakerejtomo-2-lk-relative-pert-pl-4,
wejtojpe-cop-fut-1-fut,wej-cop,fut,wejtojpe-cop-fut-1,
yakerej-lk-relative-pert-2-pert,akere-relative,pert,yakerej-lk-relative-pert-2,
uya-ratomo-1-grandchild-pert-pl-0-1,ya-ra-grandchild,1,uya-ratomo-1-grandchild-pert-pl-0,
uya-ratomo-1-grandchild-pert-pl-2-pert,ya-ra-grandchild,pert,uya-ratomo-1-grandchild-pert-pl-2,
uya-ratomo-1-grandchild-pert-pl-3-pl,ya-ra-grandchild,pl,uya-ratomo-1-grandchild-pert-pl-3,
wejkajpe-fall-pst-1-pst,wejka-fall,pst,wejkajpe-fall-pst-1,
sejpeti-dream-ipfv-1-ipfv,sejpeti-dream,ipfv,sejpeti-dream-ipfv-1,
waimuru-language-pert-1-pert,waimu-language,pert,waimuru-language-pert-1,
taitaja-3p-hear-neg-0-3,ita-hear,3,taitaja-3p-hear-neg-0,
taitaja-3p-hear-neg-2-neg,ita-hear,neg,taitaja-3p-hear-neg-2,
winijse-sleep-pst-1-pst,winij-sleep,pst,winijse-sleep-pst-1,
empampori-learn-des-ipfv-2-ipfv,empampo-learn-des,ipfv,empampori-learn-des-ipfv-2,
winikija-sleep-neg-1-neg,winiki-sleep,neg,winikija-sleep-neg-1,
iche-put-pst-1-pst,i-put,pst,iche-put-pst-1,
pojtepori-want-des-ipfv-2-ipfv,pojtepo-want-des,ipfv,pojtepori-want-des-ipfv-2,
winijpo-sleep-des-ipfv-2-ipfv,winijpo-sleep-des,ipfv,winijpo-sleep-des-ipfv-2,
asamopeke-cry-prog-tr-1-prog,asamo-cry,prog,asamopeke-cry-prog-tr-1,
neme-leave-ipfv-1-ipfv,neme-leave,ipfv,neme-leave-ipfv-1,
nemeri-leave-ipfv-1-ipfv,neme-leave,ipfv,nemeri-leave-ipfv-1,
imukuru-3-child-pert-0-3,muku-child,3,imukuru-3-child-pert-0,
imukuru-3-child-pert-2-pert,muku-child,pert,imukuru-3-child-pert-2,
tapojte-3p-want-ipfv-0-3,pojte-want,3,tapojte-3p-want-ipfv-0,
tapojte-3p-want-ipfv-2-ipfv,pojte-want,ipfv,tapojte-3p-want-ipfv-2,
pojte-want-ipfv-1-ipfv,pojte-want,ipfv,pojte-want-ipfv-1,
mewaimuruntojpe-2-speak-fut-0-2,waimurun-speak,2,mewaimuruntojpe-2-speak-fut-0,
mewaimuruntojpe-2-speak-fut-2-fut,waimurun-speak,fut,mewaimuruntojpe-2-speak-fut-2,
enujse-go-up-pst-1-pst,enuj-go-up,pst,enujse-go-up-pst-1,
waijtaton-mouse-pl-1-pl,waijta-mouse,pl,waijtaton-mouse-pl-1,
