ID,Language_ID,Name,Lexeme_ID,Parameter_ID,Morpho_Segments,Segments,Comment,Source,Part_Of_Speech
yakaramapeti-tell-plur,yab,yakarama-pëti,yakaramapeti-tell-plur,tell-PLUR,yakara ma pëti,,,,
yeneni-eat-meat-agtnmlz,yab,yënë-ni,yeneni-eat-meat-agtnmlz,eat(meat)-AGTNMLZ,yënë ni,,,,
ekejna-where-nmlz,yab,ëkëj-na,ekejna-where-nmlz,where-NMLZ,ëkëj na,,,,
yapejtane-grab-cncs,yab,yapëj-tane,yapejtane-grab-cncs,grab-CNCS,yapëj tane,,,,
mukupijke-child-dim,yab,muku-pïjkë,mukupijke-child-dim,child-DIM,muku pïjkë,,,,
yenepej-eat-meat-plur,yab,yënë-pëj,yenepej-eat-meat-plur,eat(meat)-PLUR,yënë pëj,,,,
tena-loc-nmlz,yab,të-na,tena-loc-nmlz,LOC-NMLZ,të na,,,,
tampapeti-become-angry-plur,yab,tampa-pëti,tampapeti-become-angry-plur,become_angry-PLUR,tampa pëti,,,,
panake-ear-prop,yab,pana-ke,panake-ear-prop,ear-PROP,pana ke,,,,
samopeti-cry-plur,yab,samo-pëti,samopeti-cry-plur,cry-PLUR,samo pëti,,,,
tajrominke-bad-omen-prop,yab,tajromin-ke,tajrominke-bad-omen-prop,bad_omen-PROP,tajromin ke,,,,
semapej-die-plur,yab,sëma-pëj,semapej-die-plur,die-PLUR,sëma pëj,,,,
semari-die-acnnmlz,yab,sëma-ri,semari-die-acnnmlz,die-ACNNMLZ,sëma ri,,,,
esemane-die-inf,yab,ësëma-në,esemane-die-inf,die-INF,ësëma në,,,,
wenkejpej-forget-plur,yab,wënkej-pëj,wenkejpej-forget-plur,forget-PLUR,wënkej pëj,,,,
weseise-be-brave-ptcp,yab,wesei-se,weseise-be-brave-ptcp,be_brave-PTCP; be_brave-SUP,wesei se,,,,
atapejse-seize-on-ptcp,yab,atapëj-se,atapejse-seize-on-ptcp,seize_on-PTCP; seize_on-SUP,at apëj se,,,,
tapej-say-plur,yab,ta-pëj,tapej-say-plur,say-PLUR,ta pëj,,,,
inpo-see-des,yab,in-po,inpo-see-des,see-DES,in po,,,,
tawejkari-dawn-acnnmlz,yab,tawejka-ri,tawejkari-dawn-acnnmlz,dawn-ACNNMLZ,tawejka ri,,,,
yakase-dig-out-ptcp,yab,yaka-se,yakase-dig-out-ptcp,dig_out-PTCP; dig_out-SUP,yaka se,,,,
enteno-here-loc-nmlz,yab,entë-no,enteno-here-loc-nmlz,here.LOC-NMLZ,entë no,,,,
yenpo-drink-des,yab,yën-po,yenpo-drink-des,drink-DES,yën po,,,,
yempekapeti-offend-plur,yab,yëmpëka-pëti,yempekapeti-offend-plur,offend-PLUR,yëmpëka pëti,,,,
semajpe-die-pst-acnnmlz,yab,sëma-jpë,semajpe-die-pst-acnnmlz,die-PST.ACNNMLZ,sëma jpë,,,,
yemiri-be-hungry-acnnmlz,yab,yëmi-ri,yemiri-be-hungry-acnnmlz,be_hungry-ACNNMLZ,yëmi ri,,,,
