ID,Language_ID,Form,Description,Part_Of_Speech,Parameter_ID,Morpho_Segments,Stem_ID,Segments,Comment,Source,Media_ID
enuku-go-up-acnnmlz,yab,ënuku,,n,go_up-ACNNMLZ,ënuku ∅,,,,,
tamejyakase-3p-uncover-pst,yab,tamejyakase,,vt,3P-uncover-PST,ta mejyaka se,,,,,
tayanse-3p-pick-up-pst,yab,tayanse,,vt,3P-pick_up-PST,ta yan se,,,,,
tayapejtojpe-3p-grab-fut,yab,tayapëjtojpe,,vt,3P-grab-FUT,ta yapëj tojpe,,,,,
yapichija-grab-neg,yab,yapïchija,,vt,grab-NEG,yapïchi ja,,,,,
esemapejsejne-die-plur-pst-pl,yab,ësëmapëjsejne,,vi,die-PLUR-PST-PL,ësëma pëj se jne,,,,,
metawejkari-2-dawn-ipfv,yab,mëtawejkari,,vi,2-dawn-IPFV,më tawejka ri,,,,,
metawejkatojpano-2-dawn-fut-concl,yab,mëtawejkatojpano,,vi,2-dawn-FUT.CONCL,më tawejka tojpano,,,,,
tawejkaja-dawn-neg,yab,tawejkaja,,vi,dawn-NEG,tawejka ja,,,,,
inwari-3-glute-pert,yab,inwari,,n,3-glute-PERT,i nwa ri,,,,,
tajta-say-motimp,yab,tajta,,vt,say-MOTIMP,taj ta,,,,,
meyenepese-2-send-away-pst,yab,mëyenepese,,vt,2-send_away-PST,më yenepe se,,,,,
noro-parrot-sp,yab,noro,,n,parrot.sp,noro,,,,,
ejpenakapeti-return-plur-ipfv,yab,ëjpënakapëti,,vi,return-PLUR-IPFV,ëjpënaka pëti ∅,,,,,
tayanijse-3p-call-pst,yab,tayanïjse,,vt,3P-call-PST,ta yanïj se,,,,,
yujwajpe-burn-pst,yab,yujwajpë,,vt,burn-PST,yujwa jpë,,,,,
mepana-2-dat,yab,mëpana,,postp,2-DAT,më pana,,,,,
tataja-3p-say-neg,yab,tataja,,vt,3P-say-NEG,ta ta ja,,,,,
waimutane-speak-cncs,yab,waimutane,,adv,speak-CNCS,waimu tane,,,,,
kij-ugh,yab,kïj,,intj,ugh,kïj,,,,,
yepemata-pay-motimp,yab,yepemata,,vt,pay-MOTIMP,yepema ta,,,,,
tanepi-3p-bring-ipfv,yab,tanepï,,vt,3P-bring-IPFV,ta nepï ∅,,,,,
ejnai-make-self-ipfv,yab,ëjnai,,vi,make_self-IPFV,ëjnai ∅,,,,,
tayapichija-3p-grab-neg,yab,tayapïchija,,vt,3P-grab-NEG,ta yapïchi ja,,,,,
tetane-go-cncs,yab,tëtane,,adv,go-CNCS,të tane,,,,,
ejnemese-remain-sup,yab,ëjnëmëse,,adv,remain-SUP,ëjnëmë se,,,,,
sakau-sand,yab,sakau,,n,sand,sakau,,,,,
yami-pick-up-ipfv,yab,yamï,,vt,pick_up-IPFV,yamï ∅,,,,,
tayampo-3p-pick-up-des-ipfv,yab,tayampo,,vt,3P-pick_up-DES-IPFV,ta yam po ∅,,,,,
yamanpejsejne-make-plur-pst-pl,yab,yamanpëjsejne,,vt,make-PLUR-PST-PL,yaman pëj se jne,,,,,
weri-kill-ipfv,yab,wëri,,vt,kill-IPFV,wë ri,,,,,
wonke-enter-imp,yab,wonkë,,vi,enter-IMP,won kë,,,,,
itapo-hear-des-ipfv,yab,itapo,,vt,hear-DES-IPFV,ita po ∅,,,,,
itatane-hear-cncs,yab,itatane,,adv,hear-CNCS,ita tane,,,,,
tawese-3p-kill-pst,yab,tawëse,,vt,3P-kill-PST,ta wë se,,,,,
weke-kill-imp,yab,wëkë,,vt,kill-IMP,wë kë,,,,,
wetane-kill-cncs,yab,wëtane,,adv,kill-CNCS,wë tane,,,,,
kamere-lightning,yab,kamere,,n,lightning,kamere,,,,,
wejka-fall-acnnmlz,yab,wëjka,,n,fall-ACNNMLZ,wëjka ∅,,,,,
kamwiyajkapo-change-des-ipfv,yab,kamwiyajkapo,,vt,change-DES-IPFV,kamwiyajka po ∅,,,,,
tayamiri-3p-pick-up-ipfv,yab,tayamïrï,,vt,3P-pick_up-IPFV,ta yamï rï,,,,,
pupuri-bactris-gasipaes,yab,pupuri,,n,Bactris_gasipaes,pupuri,,,,,
tasemejse-3p-defend-pst,yab,tasemejse,,vt,3P-defend-PST,ta semej se,,,,,
yanepijke-mother-dim,yab,yanëpïjkë,,n,mother-DIM,yanë pïjkë,,,,,
ipachi-3-older-sister-of-woman-pert,yab,ipachi,,n,3-older_sister_of_woman-PERT,i pachi ∅,,,,,
mukuke-child-prop,yab,mukuke,,adv,child-PROP,muku ke,,,,,
tatemekiri-3p-defend-ipfv,yab,tatemekïrï,,vt,3P-defend-IPFV,ta temekï rï,,,,,
tunajne-water-pl,yab,tunajne,,n,water-PL,tuna jne,,,,,
mechiyakom-2-friend-pert,yab,mëchiyakom,,n,2-friend-PERT,më chiyakom ∅,,,,,
ekiri-chicha-pert,yab,ëkïrï,,n,chicha-PERT,ëkï rï,,,,,
umukutomo-1-child-pert-pl,yab,umukutomo,,n,1-child-PERT-PL,u muku ∅ tomo,,,,,
esepeke-detrz-about,yab,ësëpëkë,,postp,DETRZ-about,ësë pëkë,,,,,
meyuru-2-lk-starchy-food-pert,yab,mëyuru,,n,2-LK-starchy_food-PERT,më y u ru,,,,,
tatupo-3p-give-des-ipfv,yab,tatupo,,vt,3P-give-DES-IPFV,ta tu po ∅,,,,,
asamori-cry-acnnmlz,yab,asamori,,n,cry-ACNNMLZ,asamo ri,,,,,
tupo-give-des-ipfv,yab,tupo,,vt,give-DES-IPFV,tu po ∅,,,,,
tasemeki-3p-defend-ipfv,yab,tasemekï,,vt,3P-defend-IPFV,ta semekï ∅,,,,,
yorojyamori-lk-evil-being-pert,yab,yorojyamori,,n,LK-evil_being-PERT,y orojyamo ri,,,,,
yorojyamorijpe-lk-evil-being-pert-pst,yab,yorojyamorijpë,,n,LK-evil_being-PERT-PST,y orojyamo ri jpë,,,,,
teijpono-far-nmlz-1,yab,tëijpono,,n,far-NMLZ,tëijpo no,,,,,
pijpe-skin,yab,pijpë,,n,skin,pijpë,,,,,
yorojyamo-lk-evil-being-pert,yab,yorojyamo,,n,LK-evil_being-PERT,y orojyamo ∅,,,,,
patakake-take-out-imp,yab,patakakë,,vt,take_out-IMP,pataka kë,,,,,
arajmate-dangerous,yab,arajmatë,,adv,dangerous,arajmatë,,,,,
yenu-lk-eye-pert,yab,yënu,,n,LK-eye-PERT,y ënu ∅,,,,,
mewejtojpano-2-cop-fut-concl,yab,mëwejtojpano,,vi,2-COP-FUT.CONCL,më wej tojpano,,,,,
epesekontomo-escape-pst-pl,yab,epesekontomo,,vi,escape-PST-PL,epe se kontomo,,,,,
teperu-3-escape-ipfv,yab,teperu,,vi,3-escape-IPFV,t epe ru,,,,,
tajne-say-ipfv-pl,yab,tajnë,,vt,say-IPFV-PL,ta ∅ jnë,,,,,
inajpiri-3-grandfather-pert,yab,inajpïrï,,n,3-grandfather-PERT,i najpï rï,,,,,
waraijtorijpe-husband-pert-pst,yab,waraijtorijpë,,n,husband-PERT-PST,waraijto ri jpë,,,,,
yenepo-eat-meat-des-ipfv,yab,yënëpo,,vt,eat(meat)-DES-IPFV,yënë po ∅,,,,,
ami-unidentified-plant,yab,amï,,n,unidentified_plant,amï,,,,,
tanaijpeti-3p-do-plur-ipfv,yab,tanaijpëti,,vt,3P-do-PLUR-IPFV,ta naij pëti ∅,,,,,
tanaise-3p-do-pst,yab,tanaise,,vt,3P-do-PST,ta nai se,,,,,
tanaijpetiri-3p-do-plur-ipfv,yab,tanaijpëtiri,,vt,3P-do-PLUR-IPFV,ta naij pëti ri,,,,,
moronori-poison-pert,yab,moronori,,n,poison-PERT,morono ri,,,,,
chiyakontomojne-friend-pl-pl,yab,chiyakontomojne,,n,friend-PL-PL,chiyakon tomo jne,,,,,
yapijtontomo-old-pl,yab,yapijtontomo,,n,old-PL,yapijton tomo,,,,,
ye-tooth-1,yab,yë,,n,tooth,yë,,,,,
taro-say-acnnmlz,yab,taro,,n,say-ACNNMLZ,taro ∅,,,,,
tojpapejse-hit-plur-pst,yab,tojpapëjse,,vt,hit-PLUR-PST,tojpa pëj se,,,,,
yawotomo-lk-uncle-pert-pl,yab,yawotomo,,n,LK-uncle-PERT-PL,y awo ∅ tomo,,,,,
yansaj-pick-up-abs-nmlz,yab,yansaj,,n,pick_up-ABS.NMLZ,yan saj,,,,,
mewaimu-2-speak-ipfv,yab,mëwaimu,,vi,2-speak-IPFV,më waimu ∅,,,,,
iwanene-3-aunt-pert,yab,iwanene,,n,3-aunt-PERT,i wanene ∅,,,,,
yakaramasaj-tell-abs-nmlz,yab,yakaramasaj,,n,tell-ABS.NMLZ,yakarama saj,,,,,
metampa-2-become-angry-ipfv,yab,mëtampa,,vi,2-become_angry-IPFV,më tampa ∅,,,,,
meweseyu-2-be-brave-ipfv,yab,mëweseyu,,vi,2-be_brave-IPFV,më weseyu ∅,,,,,
iwaraijto-3-husband-pert,yab,iwaraijto,,n,3-husband-PERT,i waraijto ∅,,,,,
tataropo-3p-say-des-ipfv,yab,tataropo,,vt,3P-say-DES-IPFV,ta taro po ∅,,,,,
mewaimu-2-language-pert,yab,mëwaimu,,n,2-language-PERT,më waimu ∅,,,,,
pojteni-want-agtnmlz,yab,pojtëni,,n,want-AGTNMLZ,pojtë ni,,,,,
yatiri-lk-plot-of-cultivated-land-pert,yab,yatïrï,,n,LK-plot_of_cultivated_land-PERT,y atï rï,,,,,
yaketeke-cut-imp,yab,yakëtëkë,,vt,cut-IMP,yakëtë kë,,,,,
tatirijpe-3-plot-of-cultivated-land-pert-pst,yab,tatïrïjpë,,n,3-plot_of_cultivated_land-PERT-PST,t atï rï jpë,,,,,
korokoro-c,yab,korokoro,,n,C.,korokoro,,,,,
winikijnari-sleep-ipfv-neg,yab,wïnïkïjnari,,vi,sleep-IPFV-NEG,wïnïkï ∅ jnari,,,,,
wirejpe-1pro-pst,yab,wïrëjpë,,pn,1PRO-PST,wïrë jpë,,,,,
yawankase-kill-sup,yab,yawankase,,adv,kill-SUP,yawanka se,,,,,
wanita-j,yab,wanita,,n,J.,wanita,,,,,
samo-cry-ipfv,yab,samo,,vi,cry-IPFV,samo ∅,,,,,
terepuntase-3-become-sick-pst,yab,terepuntase,,vi,3-become_sick-PST,t erepunta se,,,,,
picha-capuchin-monkey,yab,picha,,n,capuchin_monkey,picha,,,,,
tajropo-have-fever-ipfv,yab,tajropo,,vi,have_fever-IPFV,tajropo ∅,,,,,
anoto-annatto,yab,anoto,,n,annatto,anoto,,,,,
tayapimajpe-3p-make-worse-pst,yab,tayapimajpë,,vt,3P-make_worse-PST,ta yapima jpë,,,,,
pimi-neck,yab,pïmï,,n,neck,pïmï,,,,,
yakaramaja-tell-neg,yab,yakaramaja,,vt,tell-NEG,yakarama ja,,,,,
yaketeja-cut-neg,yab,yakëtëja,,vt,cut-NEG,yakëtë ja,,,,,
yepemaja-pay-neg,yab,yepemaja,,vt,pay-NEG,yepema ja,,,,,
metojpa-2-hit-ipfv,yab,mëtojpa,,vt,2-hit-IPFV,më tojpa ∅,,,,,
mewarotapo-2-work-des-ipfv,yab,mëwarotapo,,vi,2-work-DES-IPFV,më warota po ∅,,,,,
warotapojnari-work-des-ipfv-neg,yab,warotapojnari,,vi,work-DES-IPFV-NEG,warota po ∅ jnari,,,,,
utejpe-1-go-pst,yab,utëjpë,,vi,1-go-PST,u të jpë,,,,,
pota-mouth,yab,pota,,n,mouth,pota,,,,,
takereti-3-relative-pert,yab,takereti,,n,3-relative-PERT,t akere ti,,,,,
nankase-find-pst,yab,nankase,,vt,find-PST,nanka se,,,,,
takerejtomo-3-relative-pert-pl,yab,takerejtomo,,n,3-relative-PERT-PL,t akere j tomo,,,,,
irario-h,yab,irario,,n,H.,irario,,,,,
yerepunu-lk-sick-pert,yab,yerepunu,,n,LK-sick-PERT,y erepunu ∅,,,,,
pachiri-older-sister-of-woman-pert,yab,pachiri,,n,older_sister_of_woman-PERT,pachi ri,,,,,
peti-leg,yab,peti,,n,leg,peti,,,,,
meyakereti-2-lk-relative-pert,yab,mëyakereti,,n,2-LK-relative-PERT,më y akere ti,,,,,
kururu-prochilodus-mariae-pert,yab,kururu,,n,prochilodus_mariae-PERT,kuru ru,,,,,
kochari-tail-pert,yab,kochari,,n,tail-PERT,kocha ri,,,,,
mujnajtese-bury-sup,yab,mujnajtëse,,adv,bury-SUP,mujnajtë se,,,,,
meyakerej-2-lk-relative-pert,yab,mëyakerej,,n,2-LK-relative-PERT,më y akere j,,,,,
uteri-1-go-ipfv,yab,utëri,,vi,1-go-IPFV,u të ri,,,,,
tamanaku-t,yab,tamanaku,,n,T.,tamanaku,,,,,
mukurujpe-child-pert-pst,yab,mukurujpë,,n,child-PERT-PST,muku ru jpë,,,,,
tesetijpe-3-name-pert-pst,yab,tesetijpë,,n,3-name-PERT-PST,t ese ti jpë,,,,,
semajpekontomo-die-pst-pl,yab,sëmajpëkontomo,,vi,die-PST-PL,sëma jpë kontomo,,,,,
waimupeke-speak-prog-tr,yab,waimupëkë,,vi,speak-PROG.TR,waimu pëkë,,,,,
unajmotom-1-grandmother-pert-pl,yab,unajmotom,,n,1-grandmother-PERT-PL,u najmo ∅ tom,,,,,
wanenetomojne-aunt-pl-pl,yab,wanenetomojne,,n,aunt-PL-PL,wanene tomo jne,,,,,
senkapeti-finish-plur-ipfv,yab,sënkapëti,,vi,finish-PLUR-IPFV,sënka pëti ∅,,,,,
uyakerej-1-lk-relative-pert,yab,uyakerej,,n,1-LK-relative-PERT,u y akere j,,,,,
najmotomojne-grandmother-pl-pl,yab,najmotomojne,,n,grandmother-PL-PL,najmo tomo jne,,,,,
esemapejse-die-plur-pst,yab,ësëmapëjse,,vi,die-PLUR-PST,ësëma pëj se,,,,,
