ID,Wordform_ID,Morph_ID,Index,Gloss_ID
takere-3-with-1,takere-3-with,akere-with,1,with
yumpe-fairly-0,yumpe-fairly,yumpe-fairly,0,fairly
yene-eat-meat-ipfv-0,yene-eat-meat-ipfv,yene-eat-meat,0,eat-meat
yene-eat-meat-ipfv-1,yene-eat-meat-ipfv,ri-zero,1,ipfv
meki-3-anim-dist-0,meki-3-anim-dist,meki-3-anim-dist,0,"3,anim,dist"
ijtese-3-go-pst-0,ijtese-3-go-pst,ij3,0,3
ijtese-3-go-pst-1,ijtese-3-go-pst,te-go,1,go
ijtese-3-go-pst-2,ijtese-3-go-pst,sepst,2,pst
ati-what-0,ati-what,ati-what,0,what
tajne-3-pl-0,tajne-3-pl,ta-3,0,3
tajne-3-pl-1,tajne-3-pl,jnepl1,1,pl
tewenke-3-ignorant-0,tewenke-3-ignorant,it3,0,3
tewenke-3-ignorant-1,tewenke-3-ignorant,ewenke-ignorant,1,ignorant
kwase-how-0,kwase-how,kwase-how,0,how
senkaja-finish-neg-1,senkaja-finish-neg,janeg,1,neg
inawe-have-0,inawe-have,inawe-have,0,have
yaweno-loc-nmlz-0,yaweno-loc-nmlz,yawe-loc,0,loc
yaweno-loc-nmlz-1,yaweno-loc-nmlz,nonmlz,1,nmlz
wire-1pro-0,wire-1pro,wire-1pro,0,1pro
tototomo-non-indian-pl-0,tototomo-non-indian-pl,toto-non-indian,0,non-indian
tototomo-non-indian-pl-1,tototomo-non-indian-pl,tomopl,1,pl
naike-do-acnnmlz-prop-0,naike-do-acnnmlz-prop,nai-do,0,do
naike-do-acnnmlz-prop-1,naike-do-acnnmlz-prop,rinmlz-zero,1,acnnmlz
naike-do-acnnmlz-prop-2,naike-do-acnnmlz-prop,keprop,2,prop
yamane-make-ipfv-0,yamane-make-ipfv,yamane-make,0,make
yamane-make-ipfv-1,yamane-make-ipfv,ri-zero,1,ipfv
aniki-who-0,aniki-who,aniki-who-1,0,who
nepijpe-bring-pst-0,nepijpe-bring-pst,nepi-bring,0,bring
nepijpe-bring-pst-1,nepijpe-bring-pst,jpepst1,1,pst
melicio-m-0,melicio-m,melicio-m,0,m
erine-cooking-pot-0,erine-cooking-pot,erine-cooking-pot,0,cooking-pot
nono-earth-0,nono-earth,nono-earth,0,earth
yerine-lk-cooking-pot-pert-0,yerine-lk-cooking-pot-pert,ylk,0,lk
yerine-lk-cooking-pot-pert-1,yerine-lk-cooking-pot-pert,erine-cooking-pot,1,cooking-pot
yerine-lk-cooking-pot-pert-2,yerine-lk-cooking-pot-pert,rupert-zero,2,pert
ijmojkatopo-cook-circ-nmlz-0,ijmojkatopo-cook-circ-nmlz,ijmojka-cook,0,cook
ijmojkatopo-cook-circ-nmlz-1,ijmojkatopo-cook-circ-nmlz,toponmlz,1,"circ,nmlz"
pare-also-0,pare-also,pare-also,0,also
pataka-take-out-ipfv-1,pataka-take-out-ipfv,ri-zero,1,ipfv
n-ints-0,n-ints,n-ints,0,ints
yeye-tree-0,yeye-tree,yeye-tree,0,tree
kani-take-out-agtnmlz-0,kani-take-out-agtnmlz,ka-take-out,0,take-out
kani-take-out-agtnmlz-1,kani-take-out-agtnmlz,ninmlz,1,agtnmlz
en-prox-inan-0,en-prox-inan,en-prox-inan,0,"prox,inan"
ejka-right-0,ejka-right,ejka-right,0,right
poye-above-0,poye-above,poye-above,0,above
turi-give-acnnmlz-0,turi-give-acnnmlz,tu-give,0,give
turi-give-acnnmlz-1,turi-give-acnnmlz,rinmlz,1,acnnmlz
po-loc-0,po-loc,po-loc,0,loc
poroko-basket-sp-0,poroko-basket-sp,poroko-basket-sp,0,"basket,sp"
wepija-come-neg-0,wepija-come-neg,wepi-come,0,come
wepija-come-neg-1,wepija-come-neg,janeg,1,neg
teijpo-far-0,teijpo-far,teijpo-far-1,0,far
mukuton-child-pl-0,mukuton-child-pl,muku-child,0,child
mukuton-child-pl-1,mukuton-child-pl,tonpl,1,pl
empamija-learn-neg-0,empamija-learn-neg,empami-learn,0,learn
empamija-learn-neg-1,empamija-learn-neg,janeg,1,neg
jra-neg-0,jra-neg,jra-neg,0,neg
yiwiti-lk-house-pert-0,yiwiti-lk-house-pert,ylk,0,lk
yiwiti-lk-house-pert-1,yiwiti-lk-house-pert,iwiti-house,1,house
yiwiti-lk-house-pert-2,yiwiti-lk-house-pert,rupert-zero,2,pert
mukutom-child-pl-0,mukutom-child-pl,muku-child,0,child
mukutom-child-pl-1,mukutom-child-pl,tompl,1,pl
uya-ratom-1-grandchild-pert-pl-0,uya-ratom-1-grandchild-pert-pl,u1,0,1
uya-ratom-1-grandchild-pert-pl-1,uya-ratom-1-grandchild-pert-pl,ya-ra-grandchild,1,grandchild
uya-ratom-1-grandchild-pert-pl-2,uya-ratom-1-grandchild-pert-pl,rupert-zero,2,pert
uya-ratom-1-grandchild-pert-pl-3,uya-ratom-1-grandchild-pert-pl,tompl,3,pl
uya-ra-1-grandchild-pert-0,uya-ra-1-grandchild-pert,u1,0,1
uya-ra-1-grandchild-pert-1,uya-ra-1-grandchild-pert,ya-ra-grandchild,1,grandchild
uya-ra-1-grandchild-pert-2,uya-ra-1-grandchild-pert,rupert-zero,2,pert
empampejteke-learn-plur-pl-imp-0,empampejteke-learn-plur-pl-imp,empam-learn,0,learn
empampejteke-learn-plur-pl-imp-1,empampejteke-learn-plur-pl-imp,plur2,1,plur
empampejteke-learn-plur-pl-imp-2,empampejteke-learn-plur-pl-imp,tepl,2,pl
empampejteke-learn-plur-pl-imp-3,empampejteke-learn-plur-pl-imp,keimp,3,imp
moronkapo-make-suffer-des-ipfv-1,moronkapo-make-suffer-des-ipfv,podes,1,des
moronkapo-make-suffer-des-ipfv-2,moronkapo-make-suffer-des-ipfv,ri-zero,2,ipfv
ire-3ana-inan-0,ire-3ana-inan,ire-3ana-inan,0,"3ana,inan"
taropo-say-des-ipfv-0,taropo-say-des-ipfv,taro-say,0,say
taropo-say-des-ipfv-1,taropo-say-des-ipfv,podes,1,des
taropo-say-des-ipfv-2,taropo-say-des-ipfv,ri-zero,2,ipfv
uya-ratomo-1-grandchild-pert-pl-0,uya-ratomo-1-grandchild-pert-pl,u1,0,1
uya-ratomo-1-grandchild-pert-pl-1,uya-ratomo-1-grandchild-pert-pl,ya-ra-grandchild,1,grandchild
uya-ratomo-1-grandchild-pert-pl-2,uya-ratomo-1-grandchild-pert-pl,rupert-zero,2,pert
uya-ratomo-1-grandchild-pert-pl-3,uya-ratomo-1-grandchild-pert-pl,tomopl,3,pl
waraijtokomo-man-0,waraijtokomo-man,waraijtokomo-man,0,man
mijna-there-all-0,mijna-there-all,mijna-there-all,0,"there,all"
keyaja-think-neg-0,keyaja-think-neg,keya-think,0,think
keyaja-think-neg-1,keyaja-think-neg,janeg,1,neg
empamtoj-learn-circ-nmlz-0,empamtoj-learn-circ-nmlz,empam-learn,0,learn
empamtoj-learn-circ-nmlz-1,empamtoj-learn-circ-nmlz,tojnmlz,1,"circ,nmlz"
tawaraij-too-0,tawaraij-too,tawaraij-too,0,too
chikontomo-cop-ipfv-pl-0,chikontomo-cop-ipfv-pl,chi-cop,0,cop
chikontomo-cop-ipfv-pl-1,chikontomo-cop-ipfv-pl,ri-zero,1,ipfv
chikontomo-cop-ipfv-pl-2,chikontomo-cop-ipfv-pl,kontomopl,2,pl
ente-here-loc-0,ente-here-loc,ente-here-loc,0,"here,loc"
pini-neg-0,pini-neg,pini-neg,0,neg
minte-there-loc-0,minte-there-loc,minte-there-loc,0,"there,loc"
yenepeja-send-away-neg-0,yenepeja-send-away-neg,yenepe-send-away,0,send-away
yenepeja-send-away-neg-1,yenepeja-send-away-neg,janeg,1,neg
empamijakontomo-learn-neg-pl-0,empamijakontomo-learn-neg-pl,empami-learn,0,learn
empamijakontomo-learn-neg-pl-1,empamijakontomo-learn-neg-pl,janeg,1,neg
empamijakontomo-learn-neg-pl-2,empamijakontomo-learn-neg-pl,kontomopl,2,pl
tewisantomo-3pro-pl-0,tewisantomo-3pro-pl,tewisantomo-3pro-pl,0,"3pro,pl"
yapijtomo-old-0,yapijtomo-old,yapijtomo-old,0,old
tajpetiri-say-plur-ipfv-0,tajpetiri-say-plur-ipfv,taj-say,0,say
tajpetiri-say-plur-ipfv-1,tajpetiri-say-plur-ipfv,plur1,1,plur
tajpetiri-say-plur-ipfv-2,tajpetiri-say-plur-ipfv,ri,2,ipfv
mukutomo-child-pl-0,mukutomo-child-pl,muku-child,0,child
mukutomo-child-pl-1,mukutomo-child-pl,tomopl,1,pl
senejkaja-stay-neg-1,senejkaja-stay-neg,janeg,1,neg
moronkaja-make-suffer-neg-1,moronkaja-make-suffer-neg,janeg,1,neg
pojte-want-acnnmlz-0,pojte-want-acnnmlz,pojte-want,0,want
pojte-want-acnnmlz-1,pojte-want-acnnmlz,rinmlz-zero,1,acnnmlz
yawakaja-sow-neg-0,yawakaja-sow-neg,yawaka-sow,0,sow
yawakaja-sow-neg-1,yawakaja-sow-neg,janeg,1,neg
nope-good-0,nope-good,nope-good,0,good
wejsaj-cop-pfv-0,wejsaj-cop-pfv,wej-cop,0,cop
wejsaj-cop-pfv-1,wejsaj-cop-pfv,sajpfv,1,pfv
maniki-rel-anim-0,maniki-rel-anim,maniki-rel-anim-1,0,"rel,anim"
indigena-indigenous-person-0,indigena-indigenous-person,indigena-indigenous-person,0,indigenous-person
wejpo-come-des-ipfv-0,wejpo-come-des-ipfv,wej-come,0,come
wejpo-come-des-ipfv-1,wejpo-come-des-ipfv,podes,1,des
wejpo-come-des-ipfv-2,wejpo-come-des-ipfv,ri-zero,2,ipfv
yareja-bring-neg-0,yareja-bring-neg,yare-bring,0,bring
yareja-bring-neg-1,yareja-bring-neg,janeg,1,neg
empamipeke-learn-prog-tr-0,empamipeke-learn-prog-tr,empami-learn,0,learn
empamipeke-learn-prog-tr-1,empamipeke-learn-prog-tr,pekeprog,1,"prog,tr"
empamiri-learn-ipfv-0,empamiri-learn-ipfv,empami-learn,0,learn
empamiri-learn-ipfv-1,empamiri-learn-ipfv,ri-ri,1,ipfv
taro-say-ipfv-0,taro-say-ipfv,taro-say,0,say
taro-say-ipfv-1,taro-say-ipfv,ri-zero,1,ipfv
penare-before-0,penare-before,penare-before,0,before
yepematopo-pay-circ-nmlz-0,yepematopo-pay-circ-nmlz,yepema-pay,0,pay
yepematopo-pay-circ-nmlz-1,yepematopo-pay-circ-nmlz,toponmlz,1,"circ,nmlz"
mukuru-child-pert-0,mukuru-child-pert,muku-child,0,child
mukuru-child-pert-1,mukuru-child-pert,rupert,1,pert
ijteri-3-go-ipfv-0,ijteri-3-go-ipfv,ij3,0,3
ijteri-3-go-ipfv-1,ijteri-3-go-ipfv,te-go,1,go
ijteri-3-go-ipfv-2,ijteri-3-go-ipfv,ri,2,ipfv
ijtetojpe-3-go-fut-0,ijtetojpe-3-go-fut,ij3,0,3
ijtetojpe-3-go-fut-1,ijtetojpe-3-go-fut,te-go,1,go
ijtetojpe-3-go-fut-2,ijtetojpe-3-go-fut,tojpefut,2,fut
ana-1-3pro-0,ana-1-3pro,ana-1-3pro,0,1-3pro
warotatopo-work-circ-nmlz-0,warotatopo-work-circ-nmlz,warota-work,0,work
warotatopo-work-circ-nmlz-1,warotatopo-work-circ-nmlz,toponmlz,1,"circ,nmlz"
ejpina-often-0,ejpina-often,ejpina-often,0,often
mmm-yes-0,mmm-yes,mmm-yes,0,yes
