ID,Stem_ID,Value_ID,Wordformpart_ID,Form_ID
tepekepene-3-alone-0-3,pekepene-alone,3,tepekepene-3-alone-0,
chi-cop-ipfv-1-ipfv,chi-cop,ipfv,chi-cop-ipfv-1,
meyakere-2-lk-with-0-2,akere-with,2,meyakere-2-lk-with-0,
tatuse-3p-give-pst-0-3,tu-give,3,tatuse-3p-give-pst-0,
tatuse-3p-give-pst-2-pst,tu-give,pst,tatuse-3p-give-pst-2,
imukuru-3-child-pert-0-3,muku-child,3,imukuru-3-child-pert-0,
imukuru-3-child-pert-2-pert,muku-child,pert,imukuru-3-child-pert-2,
mukujpe-child-pst-1-pst,muku-child,pst,mukujpe-child-pst-1,
tanemese-3p-leave-pst-0-3,neme-leave,3,tanemese-3p-leave-pst-0,
tanemese-3p-leave-pst-2-pst,neme-leave,pst,tanemese-3p-leave-pst-2,
yapejke-grab-imp-1-imp,yapej-grab,imp,yapejke-grab-imp-1,
tatase-3p-say-pst-0-3,ta-say,3,tatase-3p-say-pst-0,
tatase-3p-say-pst-2-pst,ta-say,pst,tatase-3p-say-pst-2,
nejke-bring-imp-1-imp,nej-bring,imp,nejke-bring-imp-1,
memukuru-2-child-pert-0-2,muku-child,2,memukuru-2-child-pert-0,
memukuru-2-child-pert-2-pert,muku-child,pert,memukuru-2-child-pert-2,
chijpe-cop-pst-1-pst,chi-cop,pst,chijpe-cop-pst-1,
tayene-3p-eat-meat-ipfv-0-3,yene-eat-meat,3,tayene-3p-eat-meat-ipfv-0,
tayene-3p-eat-meat-ipfv-2-ipfv,yene-eat-meat,ipfv,tayene-3p-eat-meat-ipfv-2,
panari-ear-pert-1-pert,pana-ear,pert,panari-ear-pert-1,
samopeke-cry-prog-tr-1-prog,samo-cry,prog,samopeke-cry-prog-tr-1,
tayenepejse-3p-eat-meat-plur-pst-0-3,yenepej-eat-meat-plur,3,tayenepejse-3p-eat-meat-plur-pst-0,
tayenepejse-3p-eat-meat-plur-pst-3-pst,yenepej-eat-meat-plur,pst,tayenepejse-3p-eat-meat-plur-pst-3,
panarijpe-ear-pert-pst-1-pert,pana-ear,pert,panarijpe-ear-pert-pst-1,
panarijpe-ear-pert-pst-2-pst,pana-ear,pst,panarijpe-ear-pert-pst-2,
meyenetojpano-2-eat-meat-fut-concl-0-2,yene-eat-meat,2,meyenetojpano-2-eat-meat-fut-concl-0,
meyenetojpano-2-eat-meat-fut-concl-2-fut,yene-eat-meat,fut,meyenetojpano-2-eat-meat-fut-concl-2,
uyakere-1-lk-with-0-1,akere-with,1,uyakere-1-lk-with-0,
wepiri-come-ipfv-1-ipfv,wepi-come,ipfv,wepiri-come-ipfv-1,
tampapeti-become-angry-plur-ipfv-2-ipfv,tampapeti-become-angry-plur,ipfv,tampapeti-become-angry-plur-ipfv-2,
anajmo-2-grandmother-pert-0-2,najmo-grandmother,2,anajmo-2-grandmother-pert-0,
anajmo-2-grandmother-pert-2-pert,najmo-grandmother,pert,anajmo-2-grandmother-pert-2,
yenepejsape-eat-meat-plur-pfv-2-pfv,yenepej-eat-meat-plur,pfv,yenepejsape-eat-meat-plur-pfv-2,
tayenese-3p-eat-meat-pst-0-3,yene-eat-meat,3,tayenese-3p-eat-meat-pst-0,
